,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
128,117048,9,36,0.798362646,-1,
129,82235,8,28,0.741248349,-1,
130,117051,9,36,0.798362646,-1,
131,117050,9,36,0.798362646,-1,
132,119101,3,3,0.102138795,-1,
133,117053,9,36,0.798362646,-1,
134,117052,9,36,0.798362646,-1,
135,137535,3,3,0.102138795,-1,
136,74046,7,19,0.260426949,-1,
137,112958,55,1430,3.236464764,-1,
138,112960,55,1430,3.236464764,-1,
139,112963,55,1430,3.236464764,-1,
140,137536,3,3,0.102138795,-1,
141,112965,55,1430,3.236464764,-1,
142,112964,55,1430,3.236464764,-1,
143,123207,3,3,0.102138795,-1,
144,112966,55,1430,3.236464764,-1,
145,112969,53,1347,3.070178413,-1,
146,117065,2,1,0.054004865,-1,
147,135498,3,3,0.102138795,-1,
148,135499,3,3,0.102138795,-1,
149,112971,55,1430,3.236464764,-1,
150,117067,2,1,0.054004865,-1,
151,112970,55,1430,3.236464764,-1,
152,135497,3,3,0.102138795,-1,
153,112973,55,1430,3.236464764,-1,
154,121165,2,1,0.054004865,-1,
155,139598,2,1,0.054004865,-1,
156,121164,2,1,0.054004865,-1,
157,112975,55,1430,3.236464764,-1,
158,82255,2,1,0.054004865,-1,
159,112974,55,1430,3.236464764,-1,
160,78161,2,1,0.054004865,-1,
161,110928,2,1,0.054004865,-1,
162,117072,16,115,0.012820697,-1,
163,112979,2,1,0.054004865,-1,
164,112981,55,1430,3.236464764,-1,
165,112980,55,1430,3.236464764,-1,
166,112983,55,1430,3.236464764,-1,
167,82263,3,3,0.102138795,-1,
168,139605,2,1,0.054004865,-1,
169,104793,9,36,0.798362646,-1,
170,112985,55,1430,3.236464764,-1,
171,117081,8,28,0.741248349,-1,
172,112984,53,1347,3.070178413,-1,
173,82264,3,3,0.102138795,-1,
174,129371,2,1,0.054004865,-1,
175,117083,9,33,0.333053964,-1.217739922,
176,112986,55,1430,3.236464764,-1,
177,117082,9,33,0.333053964,-1.217739922,
178,112989,55,1430,3.236464764,-1,
179,117085,14,88,0.575575383,-1,
180,112988,55,1430,3.236464764,-1,
181,117084,16,97,1.514841085,-175457898.5,
182,112991,55,1430,3.236464764,-1,
183,117087,14,88,0.575575383,-1,
184,112990,55,1430,3.236464764,-1,
185,117086,14,88,0.575575383,-1,
186,112993,46,1033,2.632323021,-1.413759718,
187,117089,14,88,0.575575383,-1,
188,129376,2,1,0.054004865,-1,
189,112992,55,1430,3.236464764,-1,
190,112995,55,1430,3.236464764,-1,
191,112994,53,1347,3.070178413,-1,
192,117090,14,88,0.575575383,-1,
193,112997,55,1430,3.236464764,-1,
194,112996,55,1430,3.236464764,-1,
195,117095,5,10,0.439456321,-1,
196,100710,3,3,0.102138795,-1,
197,112998,55,1430,3.236464764,-1,
198,113001,55,1430,3.236464764,-1,
199,117096,5,10,0.439456321,-1,
200,113003,55,1430,3.236464764,-1,
201,113002,55,1430,3.236464764,-1,
202,117101,4,6,0.282164708,-1,
203,113005,55,1430,3.236464764,-1,
204,113004,55,1430,3.236464764,-1,
205,110956,5,10,0.439456321,-1,
206,117103,8,28,0.741248349,-1,
207,96625,4,6,0.282164708,-1,
208,125297,2,1,0.054004865,-1,
209,104822,3,3,0.102138795,-1,
210,127354,14,85,0.141180981,-150637465.4,
211,117117,3,3,0.102138795,-1,
212,117119,4,4,0.457764732,-1,
213,117118,4,6,0.282164708,-1,
214,117121,4,6,0.282164708,-1,
215,117120,4,6,0.282164708,-1,
216,117123,2,1,0.054004865,-1,
217,98691,7,18,0.0883833,-93924384.4,
218,117122,4,6,0.282164708,-1,
219,135553,2,1,0.054004865,-1,
220,131463,2,1,0.054004865,-1,
221,104841,14,75,1.202434918,-1.002455559,
222,117129,2,1,0.054004865,-1,
223,117128,5,7,0.512498272,-1.144122571,
224,127381,2,1,0.054004865,-1,
225,94613,2,1,0.054004865,-1,
226,127380,2,1,0.054004865,-1,
227,127384,2,1,0.054004865,-1,
228,117147,2,1,0.054004865,-1,
229,113050,3,2,0.33814894,-352182519.1,
230,94618,2,1,0.054004865,-1,
231,135580,2,1,0.054004865,-1,
232,117151,2,1,0.054004865,-1,
233,129441,9,36,0.798362646,-1,
234,129444,9,36,0.798362646,-1,
235,133540,4,6,0.282164708,-1,
236,133541,4,6,0.282164708,-1,
237,117163,12,54,0.985360814,-1.101249007,
238,117162,10,41,0.222991574,-0.947640823,
239,117165,12,54,0.985360814,-1.101249007,
240,117164,10,41,0.222991574,-0.947640823,
241,117167,7,21,0.665156882,-1,
242,88494,6,15,0.56610178,-1,
243,113073,2,1,0.054004865,-1,
244,117171,14,88,0.575575383,-1,
245,117170,11,55,0.866749009,-1.018224383,
246,117173,14,88,0.575575383,-1,
247,121271,7,21,0.665156882,-1,
248,117174,15,95,0.781787512,-1,
249,121270,7,21,0.665156882,-1,
250,121273,7,21,0.665156882,-1,
251,139705,2,1,0.054004865,-1,
252,121274,7,21,0.665156882,-1,
253,117182,7,19,0.260426949,-1,
254,92609,3,3,0.102138795,-1,
255,92608,3,3,0.102138795,-1,
256,92610,4,6,0.282164708,-1,
257,76228,2,1,0.054004865,-1,
258,102855,13,62,1.233314614,-256416559.2,
259,123334,8,28,0.741248349,-1,
260,117194,3,3,0.102138795,-1,
261,137678,2,1,0.054004865,-1,
262,117196,7,19,0.260426949,-1,
263,137677,2,1,0.054004865,-1,
264,117203,10,45,0.839499175,-1,
265,117202,7,19,0.260426949,-1,
266,117205,10,45,0.839499175,-1,
267,113111,2,1,0.054004865,-1,
268,117206,10,45,0.839499175,-1,
269,115161,3,3,0.102138795,-1,
270,94685,16,115,0.012820697,-1,
271,115164,3,3,0.102138795,-1,
272,139741,2,1,0.054004865,-1,
273,117218,10,45,0.839499175,-1,
274,137703,2,1,0.054004865,-1,
275,100839,9,36,0.798362646,-1,
276,117223,10,45,0.839499175,-1,
277,82406,7,19,0.260426949,-1,
278,117225,10,45,0.839499175,-1,
279,90600,3,3,0.102138795,-1,
280,115179,4,6,0.282164708,-1,
281,86506,2,1,0.054004865,-1,
282,117226,10,45,0.839499175,-1,
283,129519,8,25,0.168224761,-1,
284,86512,2,1,0.054004865,-1,
285,111090,13,77,0.797056143,-1,
286,86514,2,1,0.054004865,-1,
287,94717,11,49,0.280989227,-1.030507911,
288,117253,4,6,0.282164708,-1,
289,117254,4,6,0.282164708,-1,
290,125455,2,1,0.054004865,-1,
291,117263,2,1,0.054004865,-1,
292,117262,2,1,0.054004865,-1,
293,100883,16,115,0.012820697,-1,
294,117269,15,95,0.781787512,-1,
295,117271,15,95,0.781787512,-1,
296,117273,14,88,0.575575383,-1,
297,117272,7,21,0.665156882,-1,
298,119322,4,6,0.282164708,-1,
299,117274,15,95,0.781787512,-1,
300,70175,3,3,0.102138795,-1,
301,117279,7,21,0.665156882,-1,
302,117278,7,21,0.665156882,-1,
303,72225,3,3,0.102138795,-1,
304,70176,3,3,0.102138795,-1,
305,135719,3,3,0.102138795,-1,
306,80423,2,1,0.054004865,-1,
307,117287,20,190,0.297046928,-1,
308,117288,20,190,0.297046928,-1,
309,117291,20,190,0.297046928,-1,
310,96811,7,18,0.0883833,-93924384.4,
311,125482,2,1,0.054004865,-1,
312,117290,20,190,0.297046928,-1,
313,119341,5,10,0.439456321,-1,
314,86573,6,15,0.56610178,-1,
315,117293,20,190,0.297046928,-1,
316,119340,4,6,0.282164708,-1,
317,125484,2,1,0.054004865,-1,
318,117295,20,190,0.297046928,-1,
319,119342,5,10,0.439456321,-1,
320,117294,20,190,0.297046928,-1,
321,117297,20,190,0.297046928,-1,
322,129585,4,6,0.282164708,-1,
323,129584,4,6,0.282164708,-1,
324,117296,20,190,0.297046928,-1,
325,117299,3,3,0.102138795,-1,
326,135728,3,3,0.102138795,-1,
327,129586,4,6,0.282164708,-1,
328,117300,3,3,0.102138795,-1,
329,129588,4,6,0.282164708,-1,
330,123448,2,1,0.054004865,-1,
331,131645,2,1,0.054004865,-1,
332,117313,2,1,0.054004865,-1,
333,70208,2,1,0.054004865,-1,
334,125507,8,28,0.741248349,-1,
335,125508,8,28,0.741248349,-1,
336,117319,20,190,0.297046928,-1,
337,117318,13,75,0.578172141,-22858924.56,
338,117320,9,36,0.798362646,-1,
339,117323,10,43,0.600263146,-107330000.8,
340,117324,16,84,2.059528635,-224084118.7,
341,107091,7,21,0.665156882,-1,
342,117333,14,80,0.859121078,-1.165195475,
343,117332,13,75,0.578172141,-22858924.56,
344,117335,13,75,0.578172141,-22858924.56,
345,117334,14,80,0.859121078,-1.165195475,
346,113241,6,15,0.56610178,-1,
347,117337,12,66,0.881421305,-1,
348,117336,12,66,0.881421305,-1,
349,117339,13,75,0.578172141,-22858924.56,
350,117338,13,75,0.578172141,-22858924.56,
351,70237,2,1,0.054004865,-1,
352,117340,12,66,0.881421305,-1,
353,107103,6,15,0.56610178,-1,
354,117342,14,80,0.859121078,-1.165195475,
355,119390,4,6,0.282164708,-1,
356,117347,6,14,0.343308637,-1,
357,117349,20,190,0.297046928,-1,
358,117351,5,10,0.439456321,-1,
359,117350,6,14,0.343308637,-1,
360,121446,2,1,0.054004865,-1,
361,117352,7,15,0.759988451,-1.648119623,
362,121448,2,1,0.054004865,-1,
363,117354,2,1,0.054004865,-1,
364,94826,3,3,0.102138795,-1,
365,117357,6,14,0.343308637,-1,
366,117359,20,190,0.297046928,-1,
367,117358,20,190,0.297046928,-1,
368,100977,2,1,0.054004865,-1,
369,117361,20,190,0.297046928,-1,
370,117360,20,190,0.297046928,-1,
371,117362,20,190,0.297046928,-1,
372,117367,20,190,0.297046928,-1,
373,135802,2,1,0.054004865,-1,
374,135803,2,1,0.054004865,-1,
375,98938,9,36,0.798362646,-1,
376,96897,6,15,0.56610178,-1,
377,127619,3,3,0.102138795,-1,
378,86659,7,20,0.486899528,-42378599.14,
379,90756,2,1,0.054004865,-1,
380,84614,2,1,0.054004865,-1,
381,117387,2,1,0.054004865,-1,
382,129674,5,6,0.800053441,-339698895.7,
383,86669,3,3,0.102138795,-1,
384,94861,2,1,0.054004865,-1,
